"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 09 08:59:42 GMT 2024","Fri Aug 09 08:59:42 GMT 2024","98","","com.coherentsolutions.aqa.java.api.makarevich.ZipCodeTest","","com.coherentsolutions.aqa.java.api.makarevich.ZipCodeTest","addAlreadyExistsZipCodesTest","addAlreadyExistsZipCodesTest()",""
"passed","Fri Aug 09 08:59:42 GMT 2024","Fri Aug 09 08:59:42 GMT 2024","63","","com.coherentsolutions.aqa.java.api.makarevich.ZipCodeTest","","com.coherentsolutions.aqa.java.api.makarevich.ZipCodeTest","addAvailableDuplicatedZipCodesTest","addAvailableDuplicatedZipCodesTest()",""
"passed","Fri Aug 09 08:59:41 GMT 2024","Fri Aug 09 08:59:42 GMT 2024","130","","com.coherentsolutions.aqa.java.api.makarevich.DeleteUserTest","","com.coherentsolutions.aqa.java.api.makarevich.DeleteUserTest","deleteUserWithAllFieldsTest","deleteUserWithAllFieldsTest()",""
"passed","Fri Aug 09 08:59:42 GMT 2024","Fri Aug 09 08:59:43 GMT 2024","176","","com.coherentsolutions.aqa.java.api.makarevich.UploadUsersTest","","com.coherentsolutions.aqa.java.api.makarevich.UploadUsersTest","uploadUsersWithMissedReqiuredFieldTest","uploadUsersWithMissedReqiuredFieldTest()",""
"passed","Fri Aug 09 08:59:39 GMT 2024","Fri Aug 09 08:59:41 GMT 2024","2236","","com.coherentsolutions.aqa.java.api.makarevich.CreateUserTest","","com.coherentsolutions.aqa.java.api.makarevich.CreateUserTest","createUserWithRequiredFieldsTest","createUserWithRequiredFieldsTest()",""
"passed","Fri Aug 09 08:59:42 GMT 2024","Fri Aug 09 08:59:42 GMT 2024","72","","com.coherentsolutions.aqa.java.api.makarevich.GetUsersTest","","com.coherentsolutions.aqa.java.api.makarevich.GetUsersTest","getUsersYoungerThanTest","getUsersYoungerThanTest()",""
"passed","Fri Aug 09 08:59:42 GMT 2024","Fri Aug 09 08:59:42 GMT 2024","114","","com.coherentsolutions.aqa.java.api.makarevich.DeleteUserTest","","com.coherentsolutions.aqa.java.api.makarevich.DeleteUserTest","deleteUserWithRequiredFieldsTest","deleteUserWithRequiredFieldsTest()",""
"passed","Fri Aug 09 08:59:43 GMT 2024","Fri Aug 09 08:59:43 GMT 2024","47","","com.coherentsolutions.aqa.java.api.makarevich.UpdateUserTest","","com.coherentsolutions.aqa.java.api.makarevich.UpdateUserTest","updateUserWithMissingRequiredFields","updateUserWithMissingRequiredFields()",""
"passed","Fri Aug 09 08:59:42 GMT 2024","Fri Aug 09 08:59:42 GMT 2024","61","","com.coherentsolutions.aqa.java.api.makarevich.ZipCodeTest","","com.coherentsolutions.aqa.java.api.makarevich.ZipCodeTest","addZipCodeTest","addZipCodeTest()",""
"passed","Fri Aug 09 08:59:43 GMT 2024","Fri Aug 09 08:59:43 GMT 2024","82","","com.coherentsolutions.aqa.java.api.makarevich.UploadUsersTest","","com.coherentsolutions.aqa.java.api.makarevich.UploadUsersTest","uploadUsersWithUnavailableZipCodeTest","uploadUsersWithUnavailableZipCodeTest()",""
"passed","Fri Aug 09 08:59:41 GMT 2024","Fri Aug 09 08:59:41 GMT 2024","68","","com.coherentsolutions.aqa.java.api.makarevich.CreateUserTest","","com.coherentsolutions.aqa.java.api.makarevich.CreateUserTest","createUserWithExistingNameAndSexTest","createUserWithExistingNameAndSexTest()",""
"passed","Fri Aug 09 08:59:42 GMT 2024","Fri Aug 09 08:59:42 GMT 2024","83","","com.coherentsolutions.aqa.java.api.makarevich.GetUsersTest","","com.coherentsolutions.aqa.java.api.makarevich.GetUsersTest","getUsersOlderThanTest","getUsersOlderThanTest()",""
"passed","Fri Aug 09 08:59:42 GMT 2024","Fri Aug 09 08:59:42 GMT 2024","30","","com.coherentsolutions.aqa.java.api.makarevich.GetUsersTest","","com.coherentsolutions.aqa.java.api.makarevich.GetUsersTest","getUsersTest","getUsersTest()",""
"passed","Fri Aug 09 08:59:43 GMT 2024","Fri Aug 09 08:59:43 GMT 2024","93","","com.coherentsolutions.aqa.java.api.makarevich.UploadUsersTest","","com.coherentsolutions.aqa.java.api.makarevich.UploadUsersTest","uploadValidUsersTest","uploadValidUsersTest()",""
"passed","Fri Aug 09 08:59:43 GMT 2024","Fri Aug 09 08:59:43 GMT 2024","44","","com.coherentsolutions.aqa.java.api.makarevich.UpdateUserTest","","com.coherentsolutions.aqa.java.api.makarevich.UpdateUserTest","updateUserWithUnavailableZipCode","updateUserWithUnavailableZipCode()",""
"passed","Fri Aug 09 08:59:41 GMT 2024","Fri Aug 09 08:59:41 GMT 2024","82","","com.coherentsolutions.aqa.java.api.makarevich.CreateUserTest","","com.coherentsolutions.aqa.java.api.makarevich.CreateUserTest","createUserWithUnavailableZipCodeTest","createUserWithUnavailableZipCodeTest()",""
"passed","Fri Aug 09 08:59:42 GMT 2024","Fri Aug 09 08:59:42 GMT 2024","76","","com.coherentsolutions.aqa.java.api.makarevich.GetUsersTest","","com.coherentsolutions.aqa.java.api.makarevich.GetUsersTest","getUsersBySex","getUsersBySex()",""
"passed","Fri Aug 09 08:59:42 GMT 2024","Fri Aug 09 08:59:42 GMT 2024","17","","com.coherentsolutions.aqa.java.api.makarevich.ZipCodeTest","","com.coherentsolutions.aqa.java.api.makarevich.ZipCodeTest","getZipCodesTest","getZipCodesTest()",""
"passed","Fri Aug 09 08:59:41 GMT 2024","Fri Aug 09 08:59:41 GMT 2024","122","","com.coherentsolutions.aqa.java.api.makarevich.CreateUserTest","","com.coherentsolutions.aqa.java.api.makarevich.CreateUserTest","createUserWithAllFieldsTest","createUserWithAllFieldsTest()",""
"passed","Fri Aug 09 08:59:42 GMT 2024","Fri Aug 09 08:59:42 GMT 2024","55","","com.coherentsolutions.aqa.java.api.makarevich.DeleteUserTest","","com.coherentsolutions.aqa.java.api.makarevich.DeleteUserTest","deleteUserWithoutRequiredFieldTest","deleteUserWithoutRequiredFieldTest()",""
"passed","Fri Aug 09 08:59:43 GMT 2024","Fri Aug 09 08:59:43 GMT 2024","54","","com.coherentsolutions.aqa.java.api.makarevich.UpdateUserTest","","com.coherentsolutions.aqa.java.api.makarevich.UpdateUserTest","updateUserTest","updateUserTest()",""
