"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 09 08:11:46 GMT 2024","Fri Aug 09 08:11:46 GMT 2024","120","","com.coherentsolutions.aqa.java.api.makarevich.DeleteUserTest","","com.coherentsolutions.aqa.java.api.makarevich.DeleteUserTest","deleteUserWithAllFieldsTest","deleteUserWithAllFieldsTest()",""
"passed","Fri Aug 09 08:11:46 GMT 2024","Fri Aug 09 08:11:46 GMT 2024","49","","com.coherentsolutions.aqa.java.api.makarevich.DeleteUserTest","","com.coherentsolutions.aqa.java.api.makarevich.DeleteUserTest","deleteUserWithoutRequiredFieldTest","deleteUserWithoutRequiredFieldTest()",""
"passed","Fri Aug 09 08:11:46 GMT 2024","Fri Aug 09 08:11:46 GMT 2024","31","","com.coherentsolutions.aqa.java.api.makarevich.GetUsersTest","","com.coherentsolutions.aqa.java.api.makarevich.GetUsersTest","getUsersOlderThanTest","getUsersOlderThanTest()",""
"passed","Fri Aug 09 08:11:46 GMT 2024","Fri Aug 09 08:11:46 GMT 2024","11","","com.coherentsolutions.aqa.java.api.makarevich.ZipCodeTest","","com.coherentsolutions.aqa.java.api.makarevich.ZipCodeTest","getZipCodesTest","getZipCodesTest()",""
"passed","Fri Aug 09 08:11:45 GMT 2024","Fri Aug 09 08:11:45 GMT 2024","56","","com.coherentsolutions.aqa.java.api.makarevich.CreateUserTest","","com.coherentsolutions.aqa.java.api.makarevich.CreateUserTest","createUserWithUnavailableZipCodeTest","createUserWithUnavailableZipCodeTest()",""
"passed","Fri Aug 09 08:11:46 GMT 2024","Fri Aug 09 08:11:46 GMT 2024","90","","com.coherentsolutions.aqa.java.api.makarevich.UploadUsersTest","","com.coherentsolutions.aqa.java.api.makarevich.UploadUsersTest","uploadValidUsersTest","uploadValidUsersTest()",""
"passed","Fri Aug 09 08:11:46 GMT 2024","Fri Aug 09 08:11:46 GMT 2024","42","","com.coherentsolutions.aqa.java.api.makarevich.ZipCodeTest","","com.coherentsolutions.aqa.java.api.makarevich.ZipCodeTest","addAlreadyExistsZipCodesTest","addAlreadyExistsZipCodesTest()",""
"passed","Fri Aug 09 08:11:45 GMT 2024","Fri Aug 09 08:11:46 GMT 2024","72","","com.coherentsolutions.aqa.java.api.makarevich.CreateUserTest","","com.coherentsolutions.aqa.java.api.makarevich.CreateUserTest","createUserWithAllFieldsTest","createUserWithAllFieldsTest()",""
"passed","Fri Aug 09 08:11:45 GMT 2024","Fri Aug 09 08:11:45 GMT 2024","473","","com.coherentsolutions.aqa.java.api.makarevich.CreateUserTest","","com.coherentsolutions.aqa.java.api.makarevich.CreateUserTest","createUserWithRequiredFieldsTest","createUserWithRequiredFieldsTest()",""
"passed","Fri Aug 09 08:11:46 GMT 2024","Fri Aug 09 08:11:46 GMT 2024","13","","com.coherentsolutions.aqa.java.api.makarevich.GetUsersTest","","com.coherentsolutions.aqa.java.api.makarevich.GetUsersTest","getUsersTest","getUsersTest()",""
"passed","Fri Aug 09 08:11:47 GMT 2024","Fri Aug 09 08:11:47 GMT 2024","40","","com.coherentsolutions.aqa.java.api.makarevich.UpdateUserTest","","com.coherentsolutions.aqa.java.api.makarevich.UpdateUserTest","updateUserTest","updateUserTest()",""
"passed","Fri Aug 09 08:11:46 GMT 2024","Fri Aug 09 08:11:46 GMT 2024","21","","com.coherentsolutions.aqa.java.api.makarevich.ZipCodeTest","","com.coherentsolutions.aqa.java.api.makarevich.ZipCodeTest","addAvailableDuplicatedZipCodesTest","addAvailableDuplicatedZipCodesTest()",""
"passed","Fri Aug 09 08:11:47 GMT 2024","Fri Aug 09 08:11:47 GMT 2024","33","","com.coherentsolutions.aqa.java.api.makarevich.UpdateUserTest","","com.coherentsolutions.aqa.java.api.makarevich.UpdateUserTest","updateUserWithUnavailableZipCode","updateUserWithUnavailableZipCode()",""
"passed","Fri Aug 09 08:11:46 GMT 2024","Fri Aug 09 08:11:46 GMT 2024","19","","com.coherentsolutions.aqa.java.api.makarevich.ZipCodeTest","","com.coherentsolutions.aqa.java.api.makarevich.ZipCodeTest","addZipCodeTest","addZipCodeTest()",""
"passed","Fri Aug 09 08:11:46 GMT 2024","Fri Aug 09 08:11:46 GMT 2024","33","","com.coherentsolutions.aqa.java.api.makarevich.GetUsersTest","","com.coherentsolutions.aqa.java.api.makarevich.GetUsersTest","getUsersYoungerThanTest","getUsersYoungerThanTest()",""
"passed","Fri Aug 09 08:11:46 GMT 2024","Fri Aug 09 08:11:46 GMT 2024","136","","com.coherentsolutions.aqa.java.api.makarevich.UploadUsersTest","","com.coherentsolutions.aqa.java.api.makarevich.UploadUsersTest","uploadUsersWithMissedReqiuredFieldTest","uploadUsersWithMissedReqiuredFieldTest()",""
